model,dataset,demographics,iteration,auc
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Mand,3,0.26926886946142065
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,1,4,0.3356454187040931
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Unknown,2,0.2943104958203924
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,4,5,0.2544673478197351
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,2,8,0.3142769346345
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,8,0.11980841578097855
multilingual-e5-large-instruct__prompt-topic,rai,Kvinde,9,0.3688453725310356
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,2,1,0.2862758667296927
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,2,3,0.31613062016931426
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,4,3,0.34952502144873937
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Unknown,8,0.29323947506197856
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,4,6,0.2873032751237637
Qwen3-Embedding-0.6B__prompt-meaning,welfare,3,9,0.26485643285710225
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Mand,9,0.3350719994308943
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,4,7,0.34206411190843977
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,2,4,0.22256094850929764
multilingual-e5-large-instruct__prompt-topic,welfare,4,2,0.46299780875995883
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,11,1,0.18231683468872414
Qwen3-Embedding-0.6B__prompt-topic,welfare,2,1,0.30932240055870164
Qwen3-Embedding-0.6B__prompt-topic,welfare,11,4,0.346248287301185
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,3,4,0.3834020463002756
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Unknown,5,0.21054261859858495
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,4,0.20938078834291837
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,1,5,0.3066519391149508
Qwen3-Embedding-0.6B__prompt-cluster,welfare,2,4,0.26093097608711807
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Mand,5,0.26328306174448746
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,3,9,0.23093023805302273
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,2,3,0.2021810752295678
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,2,7,0.3195975197169201
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,4,4,0.20892402909841742
multilingual-e5-large-instruct__prompt-grouping,welfare,4,7,0.39783186927703423
Qwen3-Embedding-0.6B__prompt-meaning,welfare,4,5,0.2071547077811716
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,0,0.27905263552268544
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,11,6,0.23580624160470154
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-rai,rai,Kvinde,7,0.23222693898147448
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,1,8,0.27317740569902604
EmbeddingGemma-Scandi-300m__prompt-grouping,rai,Kvinde,0,0.22665579995944535
Qwen3-Embedding-0.6B__prompt-meaning,rai,Kvinde,9,0.143602936421322
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,2,7,0.2677295434347669
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,4,0,0.18600964268160697
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,1,2,0.42259502938443827
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Mand,2,0.13441043811225106
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Mand,6,0.24129362397262513
Qwen3-Embedding-0.6B__prompt-grouping,welfare,2,0,0.28389792139657694
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,3,0,0.36766587081003493
multilingual-e5-large-instruct__prompt-grouping,welfare,1,6,0.4727343621188915
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,2,0,0.3960570320259218
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,11,0,0.1903175734378502
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Unknown,1,0.28820704761468785
multilingual-e5-large-instruct__prompt-grouping,welfare,4,3,0.373715229775699
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,3,0.19920236937289484
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-rai,rai,Kvinde,0,0.2453531356807017
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,1,1,0.31143975315615813
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,1,9,0.4301313826619327
Qwen3-Embedding-0.6B__prompt-similarity,welfare,3,6,0.2088707412573302
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,2,1,0.31233344209231906
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,2,0.26666186236585393
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,1,3,0.3584849291369568
Qwen3-Embedding-0.6B__prompt-meaning,rai,Unknown,3,0.2262360324808351
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,3,0,0.3245035942143613
multilingual-e5-large-instruct__prompt-similarity__ctx-rai,rai,Kvinde,4,0.344313280745611
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,4,5,0.4108532798498703
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,3,2,0.3886179919938279
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,11,6,0.20575513651555277
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Unknown,3,0.2669728851079356
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,2,0,0.32050850947814535
Qwen3-Embedding-0.6B__prompt-topic,rai,Kvinde,7,0.18035253532867748
Qwen3-Embedding-0.6B__prompt-grouping,welfare,2,5,0.29466837510525035
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Mand,2,0.2068824925319665
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,2,3,0.40454230553795506
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,1,0.3696234981646387
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Unknown,1,0.2536653024563838
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,4,1,0.32664191844292606
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,1,7,0.33794166449920265
Qwen3-Embedding-0.6B__prompt-meaning,rai,Mand,8,0.12906359296076464
Qwen3-Embedding-0.6B__prompt-grouping,rai,Kvinde,1,0.14523580393069996
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,4,5,0.36663258503588336
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,1,5,0.20882108938250682
Qwen3-Embedding-0.6B__prompt-meaning__ctx-rai,rai,Kvinde,8,0.16271089402670944
multilingual-e5-large-instruct__prompt-similarity,rai,Mand,6,0.34156058398629086
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,11,5,0.3694212380150535
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,11,2,0.34682281591863773
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,4,3,0.17778054932207082
multilingual-e5-large-instruct__prompt-cluster,rai,Kvinde,6,0.378958585111367
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,9,0.36954755585809035
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,4,2,0.1694279204976812
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,6,0.26242298100367417
multilingual-e5-large-instruct__prompt-topic,rai,Kvinde,2,0.3717939430429065
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Mand,0,0.20154040184295774
multilingual-e5-large-instruct__prompt-meaning__ctx-rai,rai,Kvinde,9,0.34143021011446384
multilingual-e5-large-instruct__prompt-cluster,rai,Kvinde,0,0.3845487400706841
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,2,4,0.3305870920554797
multilingual-e5-large-instruct__prompt-similarity,rai,Unknown,6,0.42096994804280113
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,4,1,0.2530645009236851
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,2,4,0.20208823424738176
Qwen3-Embedding-0.6B__prompt-topic,welfare,2,5,0.3552930480392356
Qwen3-Embedding-0.6B__prompt-meaning__ctx-rai,rai,Mand,7,0.15768627468859803
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Mand,6,0.21496298744615547
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,2,5,0.40950493606284566
multilingual-e5-large-instruct__prompt-similarity,welfare,11,6,0.3978661458950199
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,1,5,0.3594397914282328
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,11,1,0.33714785957326665
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,1,2,0.3625855277386482
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,2,6,0.4535100126534054
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,4,3,0.233331856507327
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,3,1,0.2316314637531997
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Unknown,7,0.3072601095919835
Qwen3-Embedding-0.6B__prompt-cluster__ctx-welfare,welfare,1,8,0.3333708691995
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,4,3,0.299001862006701
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,3,8,0.2136260700293646
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,11,2,0.36132185972549613
Qwen3-Embedding-0.6B__prompt-cluster,rai,Mand,7,0.1284672997948806
multilingual-e5-large-instruct__prompt-cluster,welfare,3,0,0.4383951182969231
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,2,6,0.33217829354311434
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,11,9,0.20340961083290368
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,4,5,0.33075324687992685
multilingual-e5-large-instruct__prompt-cluster,welfare,4,9,0.4166113306418735
Qwen3-Embedding-0.6B__prompt-similarity,rai,Unknown,6,0.2330318822407691
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,9,0.2177728270302881
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,0,0.28184078481161756
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,11,1,0.424010199533194
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,4,0,0.16713983400051957
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,1,9,0.46754046228082163
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,11,4,0.3354289568681864
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,3,2,0.19378154086276497
Qwen3-Embedding-0.6B__prompt-similarity,rai,Unknown,2,0.22154039114531265
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Unknown,2,0.2685044981948817
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Mand,0,0.2533152861514787
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,2,8,0.288255888367603
multilingual-e5-large-instruct__prompt-cluster,rai,Mand,3,0.36100483892963964
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-rai,rai,Unknown,3,0.30913753626206825
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,7,0.26845145390117797
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,0,0.2178489068248418
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,11,1,0.2903805991035733
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,11,6,0.35911440898283326
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,1,6,0.2534901100175106
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,4,4,0.41053807029911665
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,2,9,0.31315145278850454
EmbeddingGemma-Scandi-300m__prompt-cluster,welfare,4,6,0.4069043791001948
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,2,9,0.33272889910848397
EmbeddingGemma-Scandi-300m__prompt-similarity,welfare,11,7,0.39787318701968144
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,1,9,0.46739828155507973
multilingual-e5-large-instruct__prompt-grouping,welfare,11,5,0.43631990465866727
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,3,3,0.1912041111300252
multilingual-e5-large-instruct__prompt-cluster,welfare,4,4,0.4149465530637154
Qwen3-Embedding-0.6B__prompt-meaning,welfare,4,7,0.21167475575599998
Qwen3-Embedding-0.6B__prompt-similarity__ctx-welfare,welfare,4,7,0.26038203761971074
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Kvinde,5,0.20397115346040048
Qwen3-Embedding-0.6B__prompt-meaning,welfare,1,2,0.3260179818439374
Qwen3-Embedding-0.6B__prompt-topic,welfare,11,9,0.38002617355411356
Qwen3-Embedding-0.6B__prompt-similarity,welfare,3,4,0.2188614681176512
Qwen3-Embedding-0.6B__prompt-topic__ctx-rai,rai,Kvinde,1,0.16244483925091688
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,11,2,0.3651618585202774
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,4,9,0.1954835734506622
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,1,8,0.27153962650508723
multilingual-e5-large-instruct__prompt-grouping,rai,Unknown,7,0.41464367406165
Qwen3-Embedding-0.6B__prompt-similarity,rai,Mand,1,0.15546333028800005
EmbeddingGemma-Scandi-300m__prompt-topic,rai,Kvinde,7,0.261867190716782
multilingual-e5-large-instruct__prompt-topic,welfare,3,3,0.4402562445137465
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Mand,7,0.24533913014291345
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,2,6,0.4215319577367724
Qwen3-Embedding-0.6B__prompt-cluster__ctx-rai,rai,Mand,9,0.09692605818971634
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,11,6,0.19421235574154255
Qwen3-Embedding-0.6B__prompt-similarity,welfare,1,9,0.3146744877788534
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,3,4,0.19137220144112013
Qwen3-Embedding-0.6B__prompt-cluster,rai,Kvinde,5,0.14135975725520245
multilingual-e5-large-instruct__prompt-cluster,rai,Unknown,5,0.41695923629200965
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,1,3,0.4374103631919412
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Mand,4,0.3715166516040144
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Mand,6,0.3247425751434937
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Unknown,5,0.3005406254303646
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,11,5,0.47123069776866316
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,3,8,0.1767047188554033
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,2,7,0.39521142669492015
Qwen3-Embedding-0.6B__prompt-cluster,welfare,11,0,0.2547618251447118
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,3,2,0.4337650045819968
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,0,0.37187102851242365
EmbeddingGemma-Scandi-300m__prompt-topic__ctx-welfare,welfare,11,9,0.3683190442633841
Qwen3-Embedding-0.6B__prompt-topic,rai,Kvinde,1,0.18471803045921942
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,3,3,0.3866190877884824
Qwen3-Embedding-0.6B__prompt-similarity__ctx-rai,rai,Unknown,7,0.30360189471478644
Qwen3-Embedding-0.6B__prompt-grouping,rai,Unknown,1,0.24251787347455817
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,3,3,0.38080906042374185
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,welfare,11,4,0.22846925281373648
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,2,6,0.18824548746195194
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Mand,6,0.23783029903607067
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,1,3,0.42195225025248295
multilingual-e5-large-instruct__prompt-cluster,welfare,1,2,0.4727997685358541
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Kvinde,3,0.2030140508410119
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Kvinde,9,0.2520744888855219
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Kvinde,0,0.2067391545854535
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,3,5,0.3915477431200168
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Unknown,9,0.26753148117414827
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Mand,6,0.2652831749432647
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Kvinde,7,0.2309011116652427
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-welfare,welfare,2,5,0.2301333008096378
Qwen3-Embedding-0.6B__prompt-topic,welfare,1,6,0.3717885351760879
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,8,0.1822749048861204
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Unknown,8,0.17112989578914978
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,4,7,0.3255746319045752
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Kvinde,2,0.21493463694914233
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,2,1,0.26407585892726515
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,0,0.20947885839356248
Qwen3-Embedding-0.6B__prompt-meaning,welfare,11,6,0.2757631520267864
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,4,0.2629041253947908
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,11,5,0.2562459831070392
Qwen3-Embedding-0.6B__prompt-topic,welfare,11,8,0.3802814804448194
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,4,1,0.2693673074940341
multilingual-e5-large-instruct__prompt-similarity,welfare,11,8,0.4079221810821139
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,3,1,0.42837963885541647
multilingual-e5-large-instruct__prompt-meaning,welfare,4,8,0.3426268776809442
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Unknown,3,0.2866657621204674
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,11,5,0.3493269380278437
multilingual-e5-large-instruct__prompt-topic__ctx-rai,rai,Kvinde,0,0.3926029147911308
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,4,6,0.22189934390731855
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Mand,5,0.20504694701077142
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Unknown,3,0.29642557176601236
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,4,4,0.21995445343119316
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Kvinde,2,0.2503673142286851
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,4,5,0.17322181958427998
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-rai,rai,Unknown,4,0.24804296291365757
multilingual-e5-large-instruct__prompt-cluster__ctx-rai,rai,Kvinde,5,0.3465293454773121
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,2,9,0.3465232392293914
EmbeddingGemma-Scandi-300m__prompt-meaning,rai,Kvinde,5,0.27047934619813396
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-rai,rai,Kvinde,2,0.2589815692218514
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-welfare,welfare,2,5,0.2063101580788799
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Kvinde,3,0.2054406402148606
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,4,9,0.4442152653809937
multilingual-e5-large-instruct__prompt-cluster,rai,Unknown,0,0.4186971728096549
Qwen3-Embedding-0.6B__prompt-topic,welfare,2,3,0.35474055168815205
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,1,2,0.3300847929618686
multilingual-e5-large-instruct__prompt-grouping,welfare,4,6,0.4029583345657372
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,11,6,0.20086312575362164
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,3,1,0.2200621778610455
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Mand,3,0.20060299669179876
Qwen3-Embedding-Scandi-0.6B__prompt-similarity__ctx-rai,rai,Unknown,2,0.31373146861288725
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Mand,0,0.18981317445284063
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,7,0.19142922400907003
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,3,5,0.33768020122762255
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,2,6,0.20842947392983044
EmbeddingGemma-Scandi-300m__prompt-similarity__ctx-welfare,welfare,3,7,0.34747997580996065
Qwen3-Embedding-0.6B__prompt-similarity,rai,Unknown,4,0.27023594551955904
multilingual-e5-large-instruct__prompt-similarity__ctx-welfare,welfare,3,7,0.3816899852929594
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,1,0.2332251294137737
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,rai,Unknown,9,0.2861478018454759
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,11,3,0.23599086524870966
multilingual-e5-large-instruct__prompt-similarity,welfare,3,2,0.42221058065768446
EmbeddingGemma-Scandi-300m__prompt-meaning,welfare,3,6,0.467302621316799
Qwen3-Embedding-0.6B__prompt-meaning,welfare,1,8,0.32578472240122774
Qwen3-Embedding-Scandi-0.6B__prompt-topic,welfare,4,8,0.19221273968975813
multilingual-e5-large-instruct__prompt-grouping,welfare,4,1,0.3783023567990839
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,8,0.36678414382704566
multilingual-e5-large-instruct__prompt-similarity,rai,Kvinde,3,0.37354588352083945
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,3,3,0.37849833842572883
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,rai,Kvinde,8,0.19474909670167884
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,4,8,0.20122408524271226
Qwen3-Embedding-0.6B__prompt-similarity,rai,Mand,7,0.1333611948091636
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,3,2,0.25888766939960234
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,11,7,0.24696544571347873
multilingual-e5-large-instruct__prompt-meaning__ctx-welfare,welfare,3,6,0.38444504768118803
multilingual-e5-large-instruct__prompt-topic__ctx-welfare,welfare,1,3,0.45572693262639663
Qwen3-Embedding-Scandi-0.6B__prompt-grouping,welfare,1,5,0.23305123629213378
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,2,3,0.209397268023829
EmbeddingGemma-Scandi-300m__prompt-similarity,rai,Kvinde,6,0.2286679742316828
multilingual-e5-large-instruct__prompt-similarity,rai,Unknown,4,0.42267904924109617
Qwen3-Embedding-0.6B__prompt-grouping,welfare,3,0,0.2249219046545615
multilingual-e5-large-instruct__prompt-grouping,welfare,2,3,0.44840678272999274
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,1,5,0.33698227152948695
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-welfare,welfare,3,1,0.2037663454143618
EmbeddingGemma-Scandi-300m__prompt-meaning__ctx-welfare,welfare,1,4,0.33484942759813296
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,3,7,0.22889972906791006
EmbeddingGemma-Scandi-300m__prompt-cluster__ctx-welfare,welfare,11,4,0.35631997708796825
Qwen3-Embedding-0.6B__prompt-meaning__ctx-welfare,welfare,4,2,0.24710887993545472
Qwen3-Embedding-Scandi-0.6B__prompt-meaning__ctx-rai,rai,Unknown,9,0.29789395647478917
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Mand,5,0.21422999032274603
Qwen3-Embedding-Scandi-0.6B__prompt-similarity,welfare,1,0,0.2691164139103356
Qwen3-Embedding-0.6B__prompt-grouping__ctx-rai,rai,Kvinde,5,0.12027587587000467
EmbeddingGemma-Scandi-300m__prompt-grouping__ctx-welfare,welfare,4,2,0.2642979835200241
Qwen3-Embedding-Scandi-0.6B__prompt-meaning,rai,Kvinde,8,0.1953898586523568
multilingual-e5-large-instruct__prompt-grouping__ctx-welfare,welfare,4,2,0.32340476907741084
Qwen3-Embedding-0.6B__prompt-topic__ctx-welfare,welfare,11,7,0.259227354262105
Qwen3-Embedding-Scandi-0.6B__prompt-cluster__ctx-welfare,welfare,1,5,0.23200436223559262
EmbeddingGemma-Scandi-300m__prompt-topic,welfare,4,0,0.4018048271620155
multilingual-e5-large-instruct__prompt-meaning,rai,Unknown,1,0.38659154848387883
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-welfare,welfare,3,5,0.1736590901218029
Qwen3-Embedding-Scandi-0.6B__prompt-grouping__ctx-rai,rai,Mand,5,0.19152048389995877
EmbeddingGemma-Scandi-300m__prompt-grouping,welfare,4,8,0.35228367879951106
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,5,0.2094721457536693
Qwen3-Embedding-0.6B__prompt-grouping__ctx-welfare,welfare,1,7,0.29264440116861345
multilingual-e5-large-instruct__prompt-meaning,welfare,1,1,0.41574441084969765
Qwen3-Embedding-Scandi-0.6B__prompt-topic,rai,Unknown,3,0.2744553184037024
multilingual-e5-large-instruct__prompt-similarity,welfare,4,0,0.3773624068576533
multilingual-e5-large-instruct__prompt-cluster__ctx-welfare,welfare,1,7,0.43812764844012975
EmbeddingGemma-Scandi-300m__prompt-cluster,rai,Unknown,9,0.2827651875423751
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,rai,Kvinde,3,0.22250407105322087
Qwen3-Embedding-Scandi-0.6B__prompt-cluster,welfare,11,0,0.2248311090543898
Qwen3-Embedding-Scandi-0.6B__prompt-topic__ctx-rai,rai,Unknown,4,0.29454342602978256
